19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
19,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
19,3,19,41,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,15,-1,19
19,19,19,-1,-1,-1,40,-1,-1,19,12,-1,8,19,19,19,19,15,-1,19
19,-1,-1,-1,-1,-1,-1,-1,-1,19,12,-1,8,-1,19,-1,-1,15,-1,19
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,19,-1,-1,15,-1,19
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,19,-1,-1,15,-1,19
19,-1,-1,-1,41,-1,-1,-1,-1,19,19,19,19,-1,19,-1,-1,15,-1,19
35,35,35,35,35,35,35,35,35,35,35,35,35,35,19,-1,-1,15,-1,19
34,34,34,34,34,34,34,34,34,34,34,34,34,34,19,-1,-1,15,-1,19
34,34,34,34,34,34,34,34,34,34,34,34,34,34,19,-1,-1,20,20,19
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,40,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,8,-1,-1,-1,8,-1,8,-1,8,-1,-1,-1,8,8,8
26,-1,-1,-1,14,-1,28,-1,14,-1,8,-1,28,-1,-1,14,8,-1,-1,-1
20,20,19,-1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
19,19,19,-1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
